id,title,note,excerpt,url,tags,created,cover,highlights,favorite
1021634237,Permissions: How to do them right - TygoDesign - Medium,,"They can be a pain in the ass, but handling it properly can mean the difference between a life long user and deleting straight after install. Here’s some tip on how to get it right.",https://medium.com/tygodesign/app-permissions-how-to-do-them-right-8a873056c414,,2025-04-23T04:11:12.372Z,https://miro.medium.com/v2/da:true/resize:fit:1200/1*sz4zS0Ieq8uPRxByUO39Rg.gif,,false
812330859,Web permissions best practices | Articles | web.dev,,"This guide outlines best practices for websites to follow when asking users for permission to access sensitive capabilities (such as camera, microphone, and location) to minimize unnecessary prompts and blocked access.",https://web.dev/articles/permissions-best-practices?hl=en,,2024-07-06T02:02:38.028Z,https://web.dev/static/articles/permissions-best-practices/thumb.png,,false
676274714,Custom Role Creation and Permission Management Feature — Case study,,"This case study explains how I designed a feature to allow admins create roles, manage roles and permissions for an employee management…",https://tassyomah.medium.com/custom-role-creation-and-permission-management-feature-case-study-acd4f4cb7ac3,,2023-11-11T04:10:41.045Z,https://miro.medium.com/v2/resize:fit:1200/1*MK6w_scuYgwrwy7Wj7EV_w.png,,false
675396517,Case study: Designing a better experience for permissions,,"Although usability testing and research before launching a product are extremely helpful, there are issues that only pop up once a product…",https://wix-ux.com/case-study-designing-a-better-experience-for-permissions-9cda05ecc8e7,,2023-11-09T13:34:12.530Z,https://miro.medium.com/v2/resize:fit:813/1*9sXO9xgbiGW-4h4wRAcPjQ.png,,false
629398858,Mobile UX Design: The Right Ways to Ask Users for Permissions,,by Nick Babich,https://uxplanet.org/mobile-ux-design-the-right-ways-to-ask-users-for-permissions-6cdd9ab25c27,mobile,2023-08-16T09:36:52.913Z,https://miro.medium.com/v2/resize:fit:900/1*I9wnGD5Epz5XDMZevmeZ6Q.png,,false
619142939,Administering Planning,,null,https://docs.oracle.com/en/cloud/saas/planning-budgeting-cloud/pfusa/types_of_access_permissions.html#planning_fuse_admin_book_cloud_61,,2023-08-01T04:49:30.827Z,https://rdl.ink/render/https%3A%2F%2Fdocs.oracle.com%2Fen%2Fcloud%2Fsaas%2Fplanning-budgeting-cloud%2Fpfusa%2Ftypes_of_access_permissions.html%23planning_fuse_admin_book_cloud_61,,false
619142921,Ultimate Guide to Designing Permissions Systems,,"Best practices, design patterns and details on how to best structure permissions systems depending on use case. Including RBAC, ACL and other ideas.",https://www.missionkontrol.io/ultimate-guide-to-designing-user-permissions-in-saas-apps/,,2023-08-01T04:49:14.935Z,https://www.kuwinda.io/wp-content/uploads/2019/10/autodraw-27_10_2019-1-1-1024x245.png,,false
619142843,How to design access control system for Saas application,,Almost all Saas apps have some kind access control system implemented as part of the product. Most of them use RBAC (Role Based Access…,https://medium.muz.li/how-to-design-access-control-system-for-saas-application-b6455c944186,,2023-08-01T04:48:25.944Z,https://miro.medium.com/v2/resize:fit:1200/1*8P5jTtgPENuotClxd_0BTw.png,,false
619142801,Designing permissions for a SaaS app,,"Manage users, groups, roles, and permissions at scale",https://uxdesign.cc/design-permissions-for-a-saas-app-db6c1825f20e,,2023-08-01T04:47:42.561Z,https://miro.medium.com/v2/resize:fit:1200/1*ZluZhKvwKDhZeRExIboajA.png,,false
557909669,How we design for admin experiences: baking good content into the process • Slack Design,,"Hi, my name is Stella, a designer working on the Slack platform administration experience. My job is to take care of a special group of users, our Slack administrators. While many think of Slack as a “people product,” we’re also a robust enterprise product. According to Okta’s 2022 Business at Work report, the average number […]",https://slack.design/articles/how-we-design-for-admin-experiences-baking-good-content-into-the-process/,,2023-04-15T13:10:44.954Z,https://slack.design/wp-content/uploads/sites/8/2023/03/Slack-Design_Baking-Good-Content_Hero@1x.png,,false
