id,title,url,tags,description
1729754866,Beyond conversations: natural language as interaction influencer,https://uxdesign.cc/beyond-conversations-natural-language-as-interaction-influencer-8b39ed123c39,"hci, language, natural language, conversational","Beyond conversations: natural language as interaction influencer From chat to canvas to control panel: Understanding natural language interaction patterns For much of the history of software, users …"
1729274536,AI’s text-trap: Moving towards a more interactive future,https://uxdesign.cc/ais-text-trap-moving-towards-a-more-interactive-future-7035bbc4aaa5,,AI’s text-trap: Moving towards a more interactive future AI assistants don’t have to communicate in paragraphs. They can communicate through interfaces. LLMs have made AI assistants a standard …
1729070945,Why Chatbots Are Not the Future of Interfaces,https://wattenberger.com/thoughts/boo-chatbots/,"chatbot, hci, interaction, conversational ui, bot, natural language",
1729068953,The forgotten conversation problem in AI chat,https://uxdesign.cc/the-forgotten-conversation-problem-in-ai-chat-4d3d0c3ea525,"conversational, dialog, conversational design, natural language","The forgotten conversation problem in AI chat We built a messaging-app architecture for knowledge work. The recall failure that followed is structural, not optional.* *Editor’s note: I wrote this …"
1728979840,The undo problem in AI products,https://uxdesign.cc/the-undo-problem-in-ai-products-c90ff080de3b,"error prevention, destructive, user control",The undo problem in AI products AI products skipped designing undo and shipped branching as the retrofit. The two are not the same thing. Editor’s note: I wrote this article from firsthand …
1705926742,Carbon Design System,https://carbondesignsystem.com/guidelines/carbon-for-ai/,,"Carbon is IBM’s open source design system for products and digital experiences. With the IBM Design Language as its foundation, the system consists of working code, design tools and resources, human interface guidelines, and a vibrant community of contributors."
1592253970,AI UX patterns in 2026: from assistants to decisions | Medium,https://nurxmedov.medium.com/ai-ux-patterns-2026-b4df555a1604,,Why modern AI interfaces shift responsibility back to designers
1592253789,"Beyond chat: 8 core user intents driving AI interaction | by Taras Bakusevych | Jan, 2026 | UX Collective",https://uxdesign.cc/beyond-chat-8-core-user-intents-driving-ai-interaction-4f573685938a,,Intent-first framework you can use to design purpose-built AI experiences
1592253751,"Progressive Disclosure in AI-Powered Product Design | by Nick Babich | Jan, 2026 | UX Planet",https://uxplanet.org/progressive-disclosure-in-ai-powered-product-design-978da0aaeb08,progressive disclosure,"Progressive Disclosure in AI-Powered Product Design Progressive disclosure is a well-known principle in UX design. This principle is about showing users only what they need right now, and revealing …"
1577745646,"We need UX patterns for AI behaviour, not just UI components",https://medium.com/design-bootcamp/we-need-ux-patterns-for-ai-behaviour-not-just-ui-components-19a27a15dce2,,"We need UX patterns for AI behaviour, not just UI components Design principles for making AI predictable, trustworthy, and human-aware UX design isn’t just about what users see anymore. It’s …"
1554800510,How to design AI features that actually improve user experience - LogRocket Blog,https://blog.logrocket.com/ux-design/ai-driven-ux-design-patterns/,,"Learn how to integrate AI into UX the right way. This guide breaks down five AI-UX design patterns, real examples, common pitfalls, and how to balance AI with core UX principles."
1462422932,3 new patterns for trustworthy AI customer support,https://medium.com/writing-by-if/3-new-patterns-for-trustworthy-ai-customer-support-cbd87ef750c6,"trust, customer experience",3 new patterns for trustworthy AI customer support This blog post is an update to our design patterns for AI which we shared last year. The new patterns we’ve added are: Show capabilities and …
1461012850,7 Design Paradigms for Human-AI Interfaces You Probably Haven’t Heard Of (But Should Care About),https://medium.com/design-bootcamp/7-design-paradigms-for-human-ai-interfaces-you-probably-havent-heard-of-but-should-care-about-7c909f2db3db,"design patterns, hci","7 Design Paradigms for Human-AI Interfaces You Probably Haven’t Heard Of (But Should Care About) Why the next generation of AI tools needs transparency, memory, and human-centered control-not magic …"
1414836768,5 “boring” UI patterns that make AI results way better | by Nurkhon | Medium,https://nurxmedov.medium.com/5-boring-ui-patterns-that-make-ai-results-way-better-bafa6c113281,,"5 “boring” UI patterns that make AI results way better Stop forcing chat. guide the prompt. TL;DR: Luke Bennis’ Design Patterns For AI Products is a gem. I’m stealing the best bits, mixing in …"
1414836346,What Are UI Design Patterns?. User interface (UI) design patterns are… | by Designlab | Bootcamp | Medium,https://medium.com/design-bootcamp/what-are-ui-design-patterns-a2f4a215fca7,,User interface (UI) design patterns are reusable solutions to common design problems in user interface design.
1412599670,"The Unstoppable Rise of Spark ✨, as Ai’s Iconic Symbol",https://medium.com/design-bootcamp/the-unstoppable-rise-of-spark-as-ais-iconic-symbol-ca663162cccc,,"Unraveling the mystery: The allure of the magic spark symbol in Ai, loved by global brands and startups alike! ✨ discover who embraced the ""Ai spark icon"" before the boom."
1412589130,10 AI-Driven UX Patterns That Will Dominate Every App by 2026,https://medium.com/design-bootcamp/10-ai-driven-ux-patterns-that-will-dominate-every-app-by-2026-cb4965dcd129,,"10 AI-Driven UX Patterns That Will Dominate Every App by 2026 You won’t “see” the biggest shift in app design coming because you’ll feel it. By 2026, artificial intelligence will no longer be …"
1411094528,37 AI patterns for product teams,https://medium.com/ai-ux-designers/37-ai-patterns-for-product-teams-e04c953270b3,,37 AI patterns for product teams Build future-proof products using the emerging AI UX standards. AI is no longer “just a feature” or a “sparkle icon”. Integrating AI into your product changes …
1411024197,UX Patterns (List) | Agenticpath,https://www.agenticpathdesign.com/ai-patterns,design patterns,
1410874384,Designing in Figma for Doubt: 3 UX Patterns That Build Trust in AI Systems,https://medium.com/design-bootcamp/designing-in-figma-for-doubt-3-ux-patterns-that-build-trust-in-ai-systems-0ca206daa320,"design patterns, trust, human centered","Designing in Figma for Doubt: 3 UX Patterns That Build Trust in AI Systems by Jennifer Simonds-Spellmann AI is changing the shape of design work.  Interfaces are becoming outcomes, not inputs …"
1410700679,UI for AI Initial Concepts,https://medium.com/ui-for-ai/ui-for-ai-initial-concepts-82b40dc2998c,"generative ai, design patterns","UI for AI Initial Concepts For the last two weeks, the UI for AI team has been working on generating concepts that solve the various issues with current AI systems. The following is a collection of …"
1405609813,"20+ GenAI UX patterns, examples and implementation tactics",https://uxdesign.cc/20-genai-ux-patterns-examples-and-implementation-tactics-5b1868b7d4a1,"design patterns, generative ai",“” is published by Sharang Sharma in UX Collective.
